MType;MType2;h(kpc);re(kpc);Blg/T;M/Lbu;M/Ld;Mblg(Msun);Mdisk(Msun)
classical   ;unbarred    ; 2.572; 1.815; 0.627;1.4e+00;3.8e+00;3.8e+10;6.0e+10
classical   ;unbarred    ; 4.303; 1.113; 0.135;1.0e+00;9.5e-01;6.2e+09;3.7e+10
pseudo-bulge;unbarred    ; 3.029; 0.800; 0.087;1.3e+01;7.8e-01;1.7e+10;1.1e+10
barred      ;pseudo-bulge; 3.234; 0.923; 0.075;1.5e+00;1.2e+00;3.8e+09;3.2e+10
pseudo-bulge;unbarred    ; 2.403; 0.792; 0.100;2.8e+00;8.3e-01;3.3e+09;8.9e+09
classical   ;unbarred    ; 3.599; 2.148; 0.742;8.1e-01;9.7e-01;1.9e+10;8.1e+09
elliptical  ;unbarred    ;      ; 3.932; 1.000;2.4e+00;       ;1.4e+11;
classical   ;unbarred    ; 1.895; 1.089; 0.387;5.7e-01;6.6e-01;3.3e+09;6.0e+09
elliptical  ;unbarred    ;      ; 2.614; 1.000;1.7e+00;       ;6.5e+10;
pseudo-bulge;unbarred    ; 2.349; 0.766; 0.113;1.0e+00;6.0e-01;1.2e+09;5.5e+09
classical   ;unbarred    ; 3.176; 1.216; 0.240;1.2e+00;5.7e-01;8.6e+09;1.3e+10
pseudo-bulge;unbarred    ; 2.031; 0.899; 0.147;9.2e-01;9.3e-01;1.3e+09;7.4e+09
classical   ;unbarred    ; 2.457; 0.663; 0.123;2.0e+00;6.3e-01;5.3e+09;1.2e+10
classical   ;unbarred    ; 2.266; 1.062; 0.311;1.1e+00;7.2e-01;1.2e+10;1.7e+10
barred      ;classical   ; 2.693; 0.585; 0.126;2.9e+00;8.4e-01;6.9e+09;1.3e+10
barred      ;classical   ; 2.925; 1.038; 0.437;4.4e+00;3.8e+00;5.3e+10;5.1e+10
elliptical  ;unbarred    ;      ; 3.747; 1.000;2.1e+00;       ;1.1e+11;
barred      ;classical   ; 1.784; 0.892; 0.413;1.3e+00;2.4e+00;6.5e+09;1.4e+10
elliptical  ;unbarred    ;      ; 1.678; 1.000;1.9e+00;       ;2.4e+10;
pseudo-bulge;unbarred    ; 3.332; 0.770; 0.066;2.8e+00;1.9e+00;5.6e+09;5.4e+10
barred      ;classical   ; 6.260; 1.224; 0.135;2.2e+00;1.9e+00;2.2e+10;1.1e+11
pseudo-bulge;unbarred    ; 1.677; 0.632; 0.171;8.6e-01;9.8e-01;1.5e+09;8.3e+09
classical   ;unbarred    ; 5.254; 0.776; 0.172;2.3e+00;7.7e-01;1.0e+10;1.6e+10
pseudo-bulge;unbarred    ; 3.278; 0.641; 0.089;1.5e+00;8.1e-01;1.4e+09;7.7e+09
barred      ;classical   ; 6.194; 0.839; 0.207;2.2e+00;1.1e+00;1.4e+10;2.3e+10
elliptical  ;unbarred    ;      ; 2.254; 1.000;2.2e+00;       ;7.2e+10;
classical   ;unbarred    ; 3.658; 0.655; 0.135;2.4e+00;1.3e+00;9.1e+09;3.0e+10
barred      ;classical   ; 1.352; 0.715; 0.460;7.4e-01;2.4e+00;2.8e+09;8.4e+09
elliptical  ;unbarred    ;      ; 4.009; 1.000;2.5e+00;       ;6.1e+10;
elliptical  ;unbarred    ;      ; 4.742; 1.000;2.4e+00;       ;1.3e+11;
pseudo-bulge;unbarred    ; 3.424; 0.626; 0.065;8.9e-01;1.3e+00;1.1e+09;2.3e+10
barred      ;classical   ; 2.402; 1.109; 0.403;6.0e+00;8.4e-01;3.1e+10;4.8e+09
elliptical  ;unbarred    ;      ; 1.933; 1.000;2.9e+00;       ;3.9e+10;
barred      ;classical   ; 2.938; 0.793; 0.182;2.2e+00;2.7e+00;1.2e+10;5.1e+10
barred      ;classical   ; 2.350; 1.113; 0.423;7.1e-01;3.9e+00;9.0e+09;4.7e+10
barred      ;classical   ; 2.027; 0.832; 0.181;1.5e+00;1.3e+00;5.1e+09;1.6e+10
barred      ;classical   ; 3.061; 1.076; 0.427;4.1e+00;1.8e+00;4.7e+10;2.2e+10
classical   ;unbarred    ; 2.901; 1.815; 0.697;3.5e+00;5.1e+00;8.0e+10;5.1e+10
classical   ;unbarred    ; 1.922; 1.075; 0.467;2.3e+00;2.4e+00;1.6e+10;2.0e+10
elliptical  ;unbarred    ;      ; 2.906; 1.000;2.5e+00;       ;6.1e+10;
barred      ;pseudo-bulge; 1.492; 0.339; 0.036;2.2e-01;1.0e+00;5.2e+07;5.9e+09
barred      ;pseudo-bulge; 1.342; 0.777; 0.198;8.5e-01;1.4e+00;2.2e+09;1.0e+10
pseudo-bulge;unbarred    ; 2.299; 0.914; 0.075;2.2e+00;9.0e-01;2.7e+09;1.4e+10
barred      ;pseudo-bulge; 1.492; 0.671; 0.077;4.6e+00;8.6e-01;4.2e+09;7.8e+09
elliptical  ;unbarred    ;      ; 1.633; 1.000;1.9e+00;       ;3.1e+10;
elliptical  ;unbarred    ;      ; 2.542; 1.000;1.7e+00;       ;2.8e+10;
elliptical  ;unbarred    ;      ; 2.880; 1.000;1.8e+00;       ;4.2e+10;
elliptical  ;unbarred    ;      ; 2.325; 1.000;1.5e+00;       ;2.2e+10;
classical   ;unbarred    ; 2.066; 1.419; 0.659;1.5e+00;3.8e+00;1.6e+10;2.1e+10
classical   ;unbarred    ; 1.571; 2.377; 0.809;2.6e+00;9.4e-01;4.8e+10;4.0e+09
pseudo-bulge;unbarred    ; 3.532; 1.181; 0.142;8.4e+00;2.1e+00;2.1e+10;3.1e+10
elliptical  ;unbarred    ;      ; 3.800; 1.000;2.2e+00;       ;7.8e+10;
