h(kpc) re(kpc) B/T   Mb(Msun) Md(Msun)
3.830  0.682  0.033 1.8e+09 2.9e+10
3.748  1.136  0.271 5.3e+10 1.1e+11
3.706  1.386  0.440 6.1e+10 5.0e+10
3.446  0.714  0.176 1.2e+10 8.6e+09
4.790  0.681  0.038 4.9e+09 2.3e+10
0      2.487  1.000 4.1e+10 0
2.459  0.560  0.061 1.2e+09 6.3e+09
2.427  0.745  0.138 4.1e+09 1.1e+10
2.497  0.932  0.312 1.6e+10 1.9e+10
3.328  1.268  0.351 3.4e+10 3.6e+10
0      2.553  1.000 9.6e+09 0
1.532  0.724  0.510 1.7e+10 1.1e+10
2.019  0.688  0.547 1.1e+10 6.3e+09
2.520  1.491  0.585 3.7e+10 2.6e+10
4.628  0.667  0.066 5.0e+09 2.3e+10
2.087  1.222  0.571 2.1e+10 1.7e+10
1.864  0.480  0.089 1.0e+09 4.4e+09
3.085  0.766  0.335 1.3e+10 2.5e+10
0      3.858  1.000 1.7e+11 0
2.380  0.646  0.207 4.6e+09 9.4e+09
4.041  1.311  0.308 2.6e+10 3.6e+10
4.749  1.649  0.483 6.3e+10 6.1e+10
0      2.729  1.000 3.2e+10 0
2.707  1.077  0.153 5.2e+09 1.8e+10
1.445  0      0.000 0       9.9e+09
1.805  0.939  0.163 1.6e+09 6.8e+09
2.796  0.708  0.258 1.1e+10 1.4e+10
2.716  0.721  0.222 1.0e+10 2.6e+10
0      2.150  1.000 2.4e+10 0
4.408  0.747  0.054 4.0e+09 2.3e+10
0      2.453  1.000 3.7e+10 0
4.519  1.040  0.127 9.2e+09 2.8e+10
0      2.866  1.000 2.7e+10 0
2.636  1.101  0.531 1.0e+10 1.8e+10
1.828  1.034  0.525 3.9e+09 2.3e+10
2.926  1.126  0.156 9.6e+09 2.4e+10
2.686  0.777  0.206 8.3e+09 1.9e+10
0      3.175  1.000 5.1e+10 0
3.125  1.242  0.312 2.3e+10 5.4e+10
0      3.836  1.000 9.8e+10 0
3.873  1.057  0.165 6.2e+09 3.5e+10
5.926  0.982  0.068 3.2e+09 3.2e+10
4.149  1.074  0.192 1.2e+10 3.9e+10
6.117  1.714  0.350 7.3e+10 1.2e+11
3.856  1.196  0.557 2.3e+10 1.5e+10
2.033  1.048  0.398 1.0e+10 2.1e+10
1.889  0.412  0.093 4.0e+08 9.9e+09
